Key,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
113,0,1,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
121,1,2,1,1,0,1,0,0,1.68,26,1,4,48,3,3,2,1,4,3,6
122,0,2,2,0,1,0,0,1,1.06,48,1,4,48,3,3,2,1,4,3,6
123,0,2,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
131,1,3,1,1,0,0,1,0,1.68,167,1,4,48,3,3,2,1,4,3,6
132,0,3,2,0,1,0,0,1,0.36,20,1,4,48,3,3,2,1,4,3,6
133,0,3,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
141,1,4,1,1,0,0,0,1,3.09,26,1,4,48,3,3,2,1,4,3,6
142,0,4,2,0,1,1,0,0,0.89,48,1,4,48,3,3,2,1,4,3,6
143,0,4,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
151,0,5,1,1,0,1,0,0,0.49,91,1,4,48,3,3,2,1,4,3,6
152,1,5,2,0,1,0,1,0,1.06,57,1,4,48,3,3,2,1,4,3,6
153,0,5,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
161,0,6,1,1,0,0,0,1,0.49,167,1,4,48,3,3,2,1,4,3,6
162,1,6,2,0,1,0,1,0,0.89,20,1,4,48,3,3,2,1,4,3,6
163,0,6,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
171,0,7,1,1,0,0,0,1,3.09,167,1,4,48,3,3,2,1,4,3,6
172,1,7,2,0,1,0,0,1,1.06,57,1,4,48,3,3,2,1,4,3,6
173,0,7,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
181,1,8,1,1,0,1,0,0,0.49,26,1,4,48,3,3,2,1,4,3,6
182,0,8,2,0,1,1,0,0,0.36,20,1,4,48,3,3,2,1,4,3,6
183,0,8,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
191,1,9,1,1,0,0,1,0,3.09,91,1,4,48,3,3,2,1,4,3,6
192,0,9,2,0,1,1,0,0,0.36,57,1,4,48,3,3,2,1,4,3,6
193,0,9,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
211,0,1,1,1,0,1,0,0,3.09,91,0,1,19,3,1,2,1,3,4,7
212,1,1,2,0,1,0,0,1,0.89,20,0,1,19,3,1,2,1,3,4,7
213,0,1,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
221,1,2,1,1,0,1,0,0,3.09,26,0,1,19,3,1,2,1,3,4,7
222,0,2,2,0,1,0,1,0,0.36,48,0,1,19,3,1,2,1,3,4,7
223,0,2,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
