Case,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
52,1,7,2,0,1,0,0,1,1.06,57,1,4,48,3,3,2,1,4,3,6
52,0,7,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
53,1,8,1,1,0,1,0,0,0.49,26,1,4,48,3,3,2,1,4,3,6
53,0,8,2,0,1,1,0,0,0.36,20,1,4,48,3,3,2,1,4,3,6
53,0,8,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
54,1,9,1,1,0,0,1,0,3.09,91,1,4,48,3,3,2,1,4,3,6
54,0,9,2,0,1,1,0,0,0.36,57,1,4,48,3,3,2,1,4,3,6
54,0,9,3,0,0,0,0,0,0,0,1,4,48,3,3,2,1,4,3,6
55,0,1,1,1,0,1,0,0,3.09,91,0,1,19,3,1,2,1,3,4,7
55,1,1,2,0,1,0,0,1,0.89,20,0,1,19,3,1,2,1,3,4,7
55,0,1,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
56,1,2,1,1,0,1,0,0,3.09,26,0,1,19,3,1,2,1,3,4,7
56,0,2,2,0,1,0,1,0,0.36,48,0,1,19,3,1,2,1,3,4,7
56,0,2,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
57,0,3,1,1,0,0,0,1,0.49,91,0,1,19,3,1,2,1,3,4,7
57,1,3,2,0,1,0,0,1,0.36,48,0,1,19,3,1,2,1,3,4,7
57,0,3,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
58,0,4,1,1,0,0,0,1,1.68,26,0,1,19,3,1,2,1,3,4,7
58,1,4,2,0,1,0,1,0,0.36,57,0,1,19,3,1,2,1,3,4,7
58,0,4,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
59,0,5,1,1,0,1,1,0,3.09,26,0,1,19,3,1,2,1,3,4,7
59,1,5,2,0,1,0,1,0,1.06,20,0,1,19,3,1,2,1,3,4,7
59,0,5,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
60,0,6,1,1,0,0,0,1,1.68,91,0,1,19,3,1,2,1,3,4,7
60,1,6,2,0,1,1,0,0,1.06,20,0,1,19,3,1,2,1,3,4,7
60,0,6,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
61,0,7,1,1,0,1,0,0,1.68,167,0,1,19,3,1,2,1,3,4,7
61,1,7,2,0,1,1,0,0,0.89,57,0,1,19,3,1,2,1,3,4,7
61,0,7,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
62,1,8,1,1,0,0,1,0,0.49,26,0,1,19,3,1,2,1,3,4,7
62,0,8,2,0,1,0,0,1,0.89,57,0,1,19,3,1,2,1,3,4,7
62,0,8,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
63,0,9,1,1,0,0,1,0,0.49,167,0,1,19,3,1,2,1,3,4,7
63,1,9,2,0,1,1,0,0,1.06,48,0,1,19,3,1,2,1,3,4,7
63,0,9,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
64,0,1,1,1,0,0,1,0,1.68,91,1,1,21,3,2,1,2,1,1,8
64,1,1,2,0,1,0,1,0,0.89,48,1,1,21,3,2,1,2,1,1,8
64,0,1,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
65,1,2,1,1,0,1,0,0,1.68,26,1,1,21,3,2,1,2,1,1,8
65,0,2,2,0,1,0,0,1,1.06,48,1,1,21,3,2,1,2,1,1,8
65,0,2,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
66,0,3,1,1,0,0,1,0,1.68,167,1,1,21,3,2,1,2,1,1,8
66,0,3,2,0,1,0,0,1,0.36,20,1,1,21,3,2,1,2,1,1,8
66,1,3,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
67,0,4,1,1,0,0,0,1,3.09,26,1,1,21,3,2,1,2,1,1,8
67,1,4,2,0,1,1,0,0,0.89,48,1,1,21,3,2,1,2,1,1,8
67,0,4,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
68,1,5,1,1,0,1,0,0,0.49,91,1,1,21,3,2,1,2,1,1,8
68,0,5,2,0,1,0,1,0,1.06,57,1,1,21,3,2,1,2,1,1,8
68,0,5,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
69,0,6,1,1,0,0,0,1,0.49,167,1,1,21,3,2,1,2,1,1,8
69,1,6,2,0,1,0,1,0,0.89,20,1,1,21,3,2,1,2,1,1,8
69,0,6,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
70,0,7,1,1,0,0,0,1,3.09,167,1,1,21,3,2,1,2,1,1,8
70,1,7,2,0,1,0,0,1,1.06,57,1,1,21,3,2,1,2,1,1,8
70,0,7,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
71,1,8,1,1,0,1,0,0,0.49,26,1,1,21,3,2,1,2,1,1,8
71,0,8,2,0,1,1,0,0,0.36,20,1,1,21,3,2,1,2,1,1,8
71,0,8,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
72,0,9,1,1,0,0,1,0,3.09,91,1,1,21,3,2,1,2,1,1,8
72,1,9,2,0,1,1,0,0,0.36,57,1,1,21,3,2,1,2,1,1,8
72,0,9,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
73,0,1,1,1,0,1,0,0,3.09,91,1,1,23,3,2,6,2,1,2,9
73,1,1,2,0,1,0,0,1,0.89,20,1,1,23,3,2,6,2,1,2,9
73,0,1,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
74,0,2,1,1,0,1,0,0,3.09,26,1,1,23,3,2,6,2,1,2,9
74,1,2,2,0,1,0,1,0,0.36,48,1,1,23,3,2,6,2,1,2,9
74,0,2,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
75,0,3,1,1,0,0,0,1,0.49,91,1,1,23,3,2,6,2,1,2,9
75,1,3,2,0,1,0,0,1,0.36,48,1,1,23,3,2,6,2,1,2,9
75,0,3,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
76,0,4,1,1,0,0,0,1,1.68,26,1,1,23,3,2,6,2,1,2,9
76,1,4,2,0,1,0,1,0,0.36,57,1,1,23,3,2,6,2,1,2,9
